state,district,year,chloride,sdp,predicted_chloride,error
Andhra Pradesh,Krishna,2013,463.04544,360239.0,192.90690982212115,270.1385301778788
Andhra Pradesh,Chittoor,2012,199.52942,341335.0,191.53304352972322,7.996376470276772
Andhra Pradesh,Chittoor,2013,191.58333,360239.0,192.90690982212115,-1.323579822121161
Andhra Pradesh,Y.S.R.,2005,224.90909,227457.9878258872,183.2569226820188,41.652167317981196
Andhra Pradesh,Krishna,2012,378.41666,341335.0,191.53304352972322,186.88361647027676
Andhra Pradesh,Krishna,2004,778.5,215455.8737901584,182.38465755764278,596.1153424423572
Andhra Pradesh,Krishna,2010,422.51999,330210.7804378922,190.72458022642158,231.79540977357843
Andhra Pradesh,Anantapur,2004,353.38889,215455.8737901584,182.38465755764278,171.00423244235722
Andhra Pradesh,Visakhapatanam,2007,219.28947,282693.9814360441,187.2712513821935,32.0182186178065
Andhra Pradesh,Visakhapatanam,2006,215.21892,251348.62002359648,184.99319724192728,30.22572275807272
Andhra Pradesh,Visakhapatanam,2005,235.6875,227457.9878258872,183.2569226820188,52.430577317981204
Andhra Pradesh,Visakhapatanam,2004,238.47575,215455.8737901584,182.38465755764278,56.09109244235722
Andhra Pradesh,Sri Potti Sriramulu Nellore,2015,506.20587,446997.0,199.21213050535545,306.99373949464456
Andhra Pradesh,Sri Potti Sriramulu Nellore,2016,208.54167,477566.0,201.43376183694204,7.107908163057971
Andhra Pradesh,Sri Potti Sriramulu Nellore,2017,279.8421,526626.0,204.99924429065783,74.84285570934219
Andhra Pradesh,Sri Potti Sriramulu Nellore,2018,349.95999,558862.0,207.3420264426754,142.6179635573246
Andhra Pradesh,Srikakulam,2004,289.34616,215455.8737901584,182.38465755764278,106.96150244235722
Andhra Pradesh,Srikakulam,2005,311.16,227457.9878258872,183.2569226820188,127.90307731798123
Andhra Pradesh,Anantapur,2005,439.72726,227457.9878258872,183.2569226820188,256.4703373179812
Andhra Pradesh,Srikakulam,2006,298.27274,251348.62002359648,184.99319724192728,113.27954275807272
Andhra Pradesh,Srikakulam,2008,301.375,289919.74396775843,187.796390589726,113.578609410274
Andhra Pradesh,Srikakulam,2009,249.47826,309550.5308999029,189.2230768180015,60.25518318199852
Andhra Pradesh,Srikakulam,2010,303.88461,330210.7804378922,190.72458022642158,113.16002977357843
Andhra Pradesh,West Godavari,2017,484.52499,526626.0,204.99924429065783,279.5257457093422
Andhra Pradesh,West Godavari,2018,464.53571,558862.0,207.3420264426754,257.19368355732456
Andhra Pradesh,Srikakulam,2011,285.84,339996.0,191.43573042321026,94.40426957678972
Andhra Pradesh,Srikakulam,2012,265.38461,341335.0,191.53304352972322,73.8515664702768
Andhra Pradesh,Srikakulam,2013,247.75676,360239.0,192.90690982212115,54.849850177878864
Andhra Pradesh,Srikakulam,2014,216.39999,397064.0,195.58320194112,20.816788058880007
Andhra Pradesh,Srikakulam,2015,234.19513,446997.0,199.21213050535545,34.98299949464456
Andhra Pradesh,Srikakulam,2016,221.73077,477566.0,201.43376183694204,20.297008163057967
Andhra Pradesh,Srikakulam,2007,321.67999,282693.9814360441,187.2712513821935,134.40873861780648
Andhra Pradesh,Krishna,2011,433.45834,339996.0,191.43573042321026,242.02260957678976
Andhra Pradesh,Anantapur,2006,287.09091,251348.62002359648,184.99319724192728,102.09771275807273
Andhra Pradesh,Anantapur,2008,339.73077,289919.74396775843,187.796390589726,151.934379410274
Andhra Pradesh,Krishna,2009,496.72726,309550.5308999029,189.2230768180015,307.50418318199854
Andhra Pradesh,Krishna,2008,426.63635,289919.74396775843,187.796390589726,238.839959410274
Andhra Pradesh,Krishna,2007,595.21741,282693.9814360441,187.2712513821935,407.9461586178065
Andhra Pradesh,Krishna,2006,410.67999,251348.62002359648,184.99319724192728,225.6867927580727
Andhra Pradesh,Krishna,2005,692.90002,227457.9878258872,183.2569226820188,509.64309731798124
Andhra Pradesh,West Godavari,2014,432.125,397064.0,195.58320194112,236.54179805888
Andhra Pradesh,Visakhapatanam,2015,180.30281,446997.0,199.21213050535545,-18.909320505355453
Andhra Pradesh,Visakhapatanam,2014,146.57378,397064.0,195.58320194112,-49.009421941119996
Andhra Pradesh,Visakhapatanam,2013,210.01785,360239.0,192.90690982212115,17.11094017787886
Andhra Pradesh,Visakhapatanam,2012,149.64865,341335.0,191.53304352972322,-41.88439352972321
Andhra Pradesh,Visakhapatanam,2011,213.21317,339996.0,191.43573042321026,21.77743957678973
Andhra Pradesh,Anantapur,2007,243.85185,282693.9814360441,187.2712513821935,56.580598617806515
Andhra Pradesh,Visakhapatanam,2010,198.75676,330210.7804378922,190.72458022642158,8.032179773578434
Andhra Pradesh,Visakhapatanam,2008,192.86757,289919.74396775843,187.796390589726,5.071179410273999
Andhra Pradesh,Anantapur,2018,278.0,558862.0,207.3420264426754,70.6579735573246
Andhra Pradesh,Anantapur,2017,307.43478,526626.0,204.99924429065783,102.43553570934216
Andhra Pradesh,Anantapur,2016,332.80646,477566.0,201.43376183694204,131.37269816305798
Andhra Pradesh,Anantapur,2015,272.44446,446997.0,199.21213050535545,73.23232949464455
Andhra Pradesh,Anantapur,2014,254.16667,397064.0,195.58320194112,58.583468058880015
Andhra Pradesh,Anantapur,2013,214.375,360239.0,192.90690982212115,21.46809017787885
Andhra Pradesh,Anantapur,2012,171.83333,341335.0,191.53304352972322,-19.699713529723226
Andhra Pradesh,Anantapur,2011,253.91667,339996.0,191.43573042321026,62.48093957678975
Andhra Pradesh,Anantapur,2010,215.26923,330210.7804378922,190.72458022642158,24.544649773578413
Andhra Pradesh,Anantapur,2009,242.73914,309550.5308999029,189.2230768180015,53.516063181998504
Andhra Pradesh,Visakhapatanam,2009,202.01579,309550.5308999029,189.2230768180015,12.792713181998522
Andhra Pradesh,West Godavari,2013,451.10809,360239.0,192.90690982212115,258.2011801778789
