state,district,year,chloride,sdp,gini
Andhra Pradesh,Kurnool,2011,329.60001,339996.0,0.26
Andhra Pradesh,Vizianagaram,2016,152.70213,477566.0,0.28
Andhra Pradesh,Vizianagaram,2015,180.63158,446997.0,0.28
Andhra Pradesh,Vizianagaram,2014,200.89743,397064.0,0.28
Andhra Pradesh,Vizianagaram,2013,216.70589,360239.0,0.28
Andhra Pradesh,Vizianagaram,2012,121.17391,341335.0,0.28
Andhra Pradesh,Sri Potti Sriramulu Nellore,2011,416.02942,339996.0,0.27
Andhra Pradesh,Vizianagaram,2010,198.13043,330210.7804378922,0.28
Andhra Pradesh,Vizianagaram,2009,136.08696,309550.5308999029,0.28
Andhra Pradesh,Guntur,2010,355.32501,330210.7804378922,0.33
Andhra Pradesh,Guntur,2011,392.97437,339996.0,0.33
Andhra Pradesh,West Godavari,2004,514.72729,215455.8737901584,0.26
Andhra Pradesh,West Godavari,2005,697.0,227457.9878258872,0.26
Andhra Pradesh,West Godavari,2006,223.8647,251348.62002359648,0.26
Andhra Pradesh,West Godavari,2007,265.0,282693.9814360441,0.26
Andhra Pradesh,West Godavari,2008,222.61111,289919.74396775843,0.26
Andhra Pradesh,West Godavari,2009,560.06665,309550.5308999029,0.26
Andhra Pradesh,West Godavari,2010,427.29413,330210.7804378922,0.26
Andhra Pradesh,Vizianagaram,2017,140.7,526626.0,0.28
Andhra Pradesh,Guntur,2009,383.23685,309550.5308999029,0.33
Andhra Pradesh,Vizianagaram,2011,172.18182,339996.0,0.28
Andhra Pradesh,Guntur,2007,469.52499,282693.9814360441,0.33
Andhra Pradesh,Kurnool,2010,263.83334,330210.7804378922,0.26
Andhra Pradesh,Kurnool,2009,392.26315,309550.5308999029,0.26
Andhra Pradesh,Kurnool,2008,472.19232,289919.74396775843,0.26
Andhra Pradesh,Guntur,2008,473.39474,289919.74396775843,0.33
Andhra Pradesh,Kurnool,2007,476.20691,282693.9814360441,0.26
Andhra Pradesh,Kurnool,2006,346.33334,251348.62002359648,0.26
Andhra Pradesh,Kurnool,2005,285.26666,227457.9878258872,0.26
Andhra Pradesh,Kurnool,2004,260.58823,215455.8737901584,0.26
Andhra Pradesh,Sri Potti Sriramulu Nellore,2012,225.0,341335.0,0.27
Andhra Pradesh,Sri Potti Sriramulu Nellore,2013,219.49025,360239.0,0.27
Andhra Pradesh,Sri Potti Sriramulu Nellore,2014,282.00168,397064.0,0.27
Andhra Pradesh,Vizianagaram,2018,161.4359,558862.0,0.28
Andhra Pradesh,Guntur,2004,386.23334,215455.8737901584,0.33
Andhra Pradesh,Srikakulam,2018,213.71428,558862.0,0.27
Andhra Pradesh,Guntur,2006,463.1282,251348.62002359648,0.33
Andhra Pradesh,Guntur,2005,482.27777,227457.9878258872,0.33
Arunachal Pradesh,East Siang,2015,63.333332,12889.0,0.28
Arunachal Pradesh,East Siang,2014,46.333336,13082.0,0.28
Arunachal Pradesh,Tirap,2018,31.905001,14897.0,0.22
Arunachal Pradesh,Lohit,2015,27.99,12889.0,0.31
Arunachal Pradesh,Lohit,2016,11.042675,13396.0,0.31
Arunachal Pradesh,Papum Pare,2017,35.450001,13923.0,0.3
Arunachal Pradesh,Papum Pare,2018,19.31785,14897.0,0.3
Arunachal Pradesh,Papum Pare,2016,13.330664,13396.0,0.3
Arunachal Pradesh,Papum Pare,2015,17.266666,12889.0,0.3
Arunachal Pradesh,Papum Pare,2014,71.800003,13082.0,0.3
Arunachal Pradesh,East Siang,2016,23.749031,13396.0,0.28
Arunachal Pradesh,East Siang,2018,37.222504,14897.0,0.28
Arunachal Pradesh,Tirap,2016,19.544069,13396.0,0.22
Arunachal Pradesh,Changlang,2018,31.905001,14897.0,0.3
Arunachal Pradesh,Tirap,2015,39.32,12889.0,0.22
Arunachal Pradesh,Changlang,2015,42.233334,12889.0,0.3
Arunachal Pradesh,Changlang,2016,19.171009,13396.0,0.3
Arunachal Pradesh,Lower Subansiri,2016,29.9907,13396.0,0.33
Arunachal Pradesh,Lohit,2018,17.725,14897.0,0.31
Arunachal Pradesh,Tirap,2017,20.088333,13923.0,0.22
Assam,Sonitpur,2015,53.627274,167629.0,0.19
Assam,Sonitpur,2016,27.855316,179632.0,0.19
Assam,Baksa,2018,28.360001,204627.0,0.2
Assam,Baksa,2016,23.633295,179632.0,0.2
Assam,Baksa,2015,65.0,167629.0,0.2
Assam,Baksa,2014,25.849998,146425.0,0.2
Assam,Sonitpur,2017,52.358463,195262.0,0.19
Assam,Sonitpur,2018,38.108749,204627.0,0.19
Assam,Sonitpur,2014,68.711113,146425.0,0.19
Assam,Goalpara,2016,23.966352,179632.0,0.24
Assam,Hailakandi,2016,32.495934,179632.0,0.21
Assam,Goalpara,2018,35.006874,204627.0,0.24
Assam,Goalpara,2015,33.916668,167629.0,0.24
Assam,Goalpara,2014,38.257145,146425.0,0.24
Assam,Lakhimpur,2014,34.530769,146425.0,0.21
Assam,Golaghat,2014,63.5,146425.0,0.22
Assam,Golaghat,2015,56.400002,167629.0,0.22
Assam,Golaghat,2016,40.636467,179632.0,0.22
Assam,Golaghat,2018,41.210625,204627.0,0.22
Assam,Lakhimpur,2015,27.4,167629.0,0.21
Assam,Hailakandi,2018,172.69214,204627.0,0.21
Assam,Lakhimpur,2017,40.178333,195262.0,0.21
Assam,Sivasagar,2016,35.383839,179632.0,0.23
Assam,Sivasagar,2015,57.650002,167629.0,0.23
Assam,Sivasagar,2014,64.0,146425.0,0.23
Assam,Lakhimpur,2018,33.516365,204627.0,0.21
Assam,Hailakandi,2017,30.131668,195262.0,0.21
Assam,Hailakandi,2015,136.0,167629.0,0.21
Assam,Lakhimpur,2016,40.585697,179632.0,0.21
Assam,Kokrajhar,2016,27.783825,179632.0,0.23
Assam,Dibrugarh,2017,14.1825,195262.0,0.27
Assam,Udalguri,2015,56.822224,167629.0,0.19
Assam,Udalguri,2016,38.858246,179632.0,0.19
Assam,Kamrup,2018,53.411335,204627.0,0.24
Assam,Kamrup,2016,45.487823,179632.0,0.24
Assam,Kamrup,2015,68.979996,167629.0,0.24
Assam,Kamrup,2014,87.866669,146425.0,0.24
Assam,Kamrup Metropolitan,2018,68.742172,204627.0,0.31
Assam,Kamrup Metropolitan,2017,42.540001,195262.0,0.31
Assam,Kamrup Metropolitan,2016,85.227615,179632.0,0.31
Assam,Kamrup Metropolitan,2015,82.671425,167629.0,0.31
Assam,Kamrup Metropolitan,2014,70.0625,146425.0,0.31
Assam,Jorhat,2014,48.299999,146425.0,0.31
Assam,Karimganj,2014,31.5,146425.0,0.19
Assam,Jorhat,2016,51.763908,179632.0,0.31
Assam,Jorhat,2018,53.681427,204627.0,0.31
Assam,Udalguri,2018,25.827858,204627.0,0.19
Assam,Bongaigaon,2018,40.767502,204627.0,0.27
Assam,Bongaigaon,2016,29.111223,179632.0,0.27
Assam,Darrang,2014,45.149998,146425.0,0.22
Assam,Darrang,2015,52.666668,167629.0,0.22
Assam,Darrang,2016,64.686943,179632.0,0.22
Assam,Udalguri,2014,33.34,146425.0,0.19
Assam,Tinsukia,2014,61.400002,146425.0,0.24
Assam,Tinsukia,2016,32.63435,179632.0,0.24
Assam,Tinsukia,2017,29.072001,195262.0,0.24
Assam,Karimganj,2015,91.580002,167629.0,0.19
Assam,Karimganj,2016,29.444445,179632.0,0.19
Assam,Karimganj,2017,40.18,195262.0,0.19
Assam,Karimganj,2018,123.28722,204627.0,0.19
Assam,Cachar,2018,121.948,204627.0,0.19
Assam,Nagaon,2018,52.466,204627.0,0.24
Assam,Nagaon,2017,63.516666,195262.0,0.24
Assam,Nagaon,2016,41.309109,179632.0,0.24
Assam,Nagaon,2015,75.099998,167629.0,0.24
Assam,Nagaon,2014,61.307693,146425.0,0.24
Assam,Bongaigaon,2015,49.977779,167629.0,0.27
Assam,Karbi Anglong,2017,31.905001,195262.0,0.17
Assam,Karbi Anglong,2015,33.779999,167629.0,0.17
Assam,Karbi Anglong,2014,52.799999,146425.0,0.17
Assam,Dibrugarh,2018,44.3125,204627.0,0.27
Assam,Chirang,2015,117.89999,167629.0,0.2
Assam,Chirang,2016,90.006454,179632.0,0.2
Assam,Cachar,2017,41.023335,195262.0,0.19
Assam,Cachar,2016,34.822598,179632.0,0.19
Assam,Cachar,2015,119.7375,167629.0,0.19
Assam,Cachar,2014,52.509998,146425.0,0.19
Assam,Tinsukia,2018,63.810001,204627.0,0.24
Assam,Karbi Anglong,2016,41.789444,179632.0,0.17
Assam,Bongaigaon,2014,28.35,146425.0,0.27
Assam,Jorhat,2015,36.5,167629.0,0.31
Assam,Karbi Anglong,2018,67.355003,204627.0,0.17
Assam,Kokrajhar,2014,28.799999,146425.0,0.23
Assam,Dhemaji,2018,25.405834,204627.0,0.18
Assam,Dhemaji,2017,24.815001,195262.0,0.18
Assam,Dhemaji,2016,21.560949,179632.0,0.18
Assam,Dhemaji,2015,36.724998,167629.0,0.18
Assam,Dhemaji,2014,55.099998,146425.0,0.18
Assam,Nalbari,2018,24.815001,204627.0,0.26
Assam,Nalbari,2016,23.747288,179632.0,0.26
Assam,Nalbari,2015,12.0,167629.0,0.26
Assam,Barpeta,2014,19.799999,146425.0,0.21
Assam,Barpeta,2016,48.056557,179632.0,0.21
Assam,Barpeta,2018,31.905001,204627.0,0.21
Assam,Dhubri,2014,52.419998,146425.0,0.24
Assam,Marigaon,2014,41.599998,146425.0,0.17
Assam,Barpeta,2015,71.966667,167629.0,0.21
Assam,Marigaon,2016,60.946865,179632.0,0.17
Assam,Dibrugarh,2016,18.389669,179632.0,0.27
Assam,Dibrugarh,2014,29.983334,146425.0,0.27
Assam,Dhubri,2018,52.162144,204627.0,0.24
Assam,Dhubri,2016,26.802427,179632.0,0.24
Assam,Dhubri,2015,93.0,167629.0,0.24
Assam,Marigaon,2015,68.0,167629.0,0.17
Assam,Kokrajhar,2015,87.0,167629.0,0.23
Assam,Marigaon,2017,38.997501,195262.0,0.17
Assam,Darrang,2018,44.059288,204627.0,0.22
Assam,Marigaon,2018,54.947502,204627.0,0.17
Bihar,Banka,2005,84.5,120702.7141776237,0.19
Bihar,Bhagalpur,2010,94.900002,207295.21074574773,0.24
Bihar,Madhubani,2006,169.33333,141592.2454273824,0.25
Bihar,Madhubani,2007,98.0,148922.3697701531,0.25
Bihar,Madhubani,2008,88.330002,171625.46728329768,0.25
Bihar,Bhagalpur,2009,98.166664,179835.9122150076,0.24
Bihar,Bhagalpur,2008,106.3,171625.46728329768,0.24
Bihar,Bhagalpur,2007,99.400002,148922.3697701531,0.24
Bihar,Bhagalpur,2005,112.66666,120702.7141776237,0.24
Bihar,Bhagalpur,2004,30.5,123786.4824931864,0.24
Bihar,Bhojpur,2013,79.75,246915.0,0.23
Bihar,Banka,2010,142.1875,207295.21074574773,0.19
Bihar,Bhojpur,2011,21.5,228497.0,0.23
Bihar,Bhojpur,2010,49.666668,207295.21074574773,0.23
Bihar,Bhojpur,2009,81.5,179835.9122150076,0.23
Bihar,Bhojpur,2008,45.0,171625.46728329768,0.23
Bihar,Bhojpur,2007,57.75,148922.3697701531,0.23
Bihar,Banka,2008,103.0,171625.46728329768,0.19
Bihar,Banka,2007,98.166664,148922.3697701531,0.19
Bihar,Bhojpur,2012,31.76,236933.0,0.23
Bihar,Banka,2009,91.25,179835.9122150076,0.19
Bihar,Nalanda,2007,110.33334,148922.3697701531,0.27
Bihar,Bhagalpur,2012,110.375,236933.0,0.24
Bihar,Nalanda,2009,87.0,179835.9122150076,0.27
Bihar,Nalanda,2010,101.4,207295.21074574773,0.27
Bihar,Nalanda,2011,86.333336,228497.0,0.27
Bihar,Nalanda,2012,75.648003,236933.0,0.27
Bihar,Madhubani,2016,17.719999,289265.0,0.25
Bihar,Madhubani,2013,64.190002,246915.0,0.25
Bihar,Madhubani,2012,82.03714,236933.0,0.25
Bihar,Nalanda,2005,35.5,120702.7141776237,0.27
Bihar,Nalanda,2001,119.16666,104271.73783034184,0.27
Bihar,Madhubani,2011,107.056,228497.0,0.25
Bihar,Madhubani,2010,108.0,207295.21074574773,0.25
Bihar,Madhubani,2009,179.0,179835.9122150076,0.25
Bihar,Nalanda,2013,141.632,246915.0,0.27
Bihar,Nalanda,2016,131.96082,289265.0,0.27
Bihar,Buxar,2004,118.66666,123786.4824931864,0.23
Bihar,Buxar,2005,46.0,120702.7141776237,0.23
Bihar,Buxar,2007,73.0,148922.3697701531,0.23
Bihar,Buxar,2008,73.0,171625.46728329768,0.23
Bihar,Bhojpur,2016,41.8125,289265.0,0.23
Bihar,Buxar,2009,65.5,179835.9122150076,0.23
Bihar,Buxar,2010,78.25,207295.21074574773,0.23
Bihar,Buxar,2011,78.25,228497.0,0.23
Bihar,Buxar,2012,199.22501,236933.0,0.23
Bihar,Nalanda,2008,69.0,171625.46728329768,0.27
Bihar,Buxar,2016,40.863636,289265.0,0.23
Bihar,Bhagalpur,2016,70.671997,289265.0,0.24
Bihar,Bhagalpur,2013,106.91111,246915.0,0.24
Bihar,Bhagalpur,2011,93.181816,228497.0,0.24
Bihar,Buxar,2013,173.70001,246915.0,0.23
Bihar,Muzaffarpur,2009,35.533333,179835.9122150076,0.24
Bihar,Banka,2011,122.92857,228497.0,0.19
Bihar,Vaishali,2006,105.33334,141592.2454273824,0.25
Bihar,Purnia,2007,73.5,148922.3697701531,0.18
Bihar,Purnia,2008,138.60001,171625.46728329768,0.18
Bihar,Purnia,2009,74.0,179835.9122150076,0.18
Bihar,Purnia,2011,93.822861,228497.0,0.18
Bihar,Purnia,2012,102.49572,236933.0,0.18
Bihar,Purnia,2013,97.5,246915.0,0.18
Bihar,Purnia,2016,72.298996,289265.0,0.18
Bihar,Darbhanga,2016,67.369003,289265.0,0.2
Bihar,Darbhanga,2013,39.9375,246915.0,0.2
Bihar,Darbhanga,2012,55.8475,236933.0,0.2
Bihar,Darbhanga,2011,73.260002,228497.0,0.2
Bihar,Darbhanga,2010,155.0,207295.21074574773,0.2
Bihar,Darbhanga,2009,59.333332,179835.9122150076,0.2
Bihar,Darbhanga,2008,15.771428,171625.46728329768,0.2
Bihar,Darbhanga,2007,41.333332,148922.3697701531,0.2
Bihar,Darbhanga,2006,42.700001,141592.2454273824,0.2
Bihar,Vaishali,2007,139.5,148922.3697701531,0.25
Bihar,Vaishali,2008,12.55,171625.46728329768,0.25
Bihar,Vaishali,2009,119.66666,179835.9122150076,0.25
Bihar,Vaishali,2010,117.0,207295.21074574773,0.25
Bihar,Supaul,2005,71.0,120702.7141776237,0.21
Bihar,Supaul,2007,41.399998,148922.3697701531,0.21
Bihar,Supaul,2008,30.885714,171625.46728329768,0.21
Bihar,Supaul,2009,26.033333,179835.9122150076,0.21
Bihar,Supaul,2010,71.0,207295.21074574773,0.21
Bihar,Supaul,2011,29.352499,228497.0,0.21
Bihar,Supaul,2012,45.0,236933.0,0.21
Bihar,Supaul,2013,37.93,246915.0,0.21
Bihar,Darbhanga,2001,14.0,104271.73783034184,0.2
Bihar,Supaul,2016,37.262474,289265.0,0.21
Bihar,Vaishali,2016,73.648888,289265.0,0.25
Bihar,Vaishali,2013,43.716667,246915.0,0.25
Bihar,Vaishali,2012,49.633999,236933.0,0.25
Bihar,Vaishali,2011,104.13333,228497.0,0.25
Bihar,Purnia,2000,52.5,110615.1637047949,0.18
Bihar,Purnia,2001,21.333334,104271.73783034184,0.18
Bihar,Purnia,2004,75.0,123786.4824931864,0.18
Bihar,Purnia,2005,85.400002,120702.7141776237,0.18
