state,district,year,chloride,sdp
Andhra Pradesh,Prakasam,2005,439.04349,167555.26987840646
Andhra Pradesh,Sri Potti Sriramulu Nellore,2017,279.8421,387935.2068414944
Andhra Pradesh,Sri Potti Sriramulu Nellore,2016,208.54167,351795.5152052218
Andhra Pradesh,Visakhapatanam,2010,198.75676,243247.36608231455
Andhra Pradesh,Kurnool,2017,289.03333,387935.2068414944
Andhra Pradesh,Kurnool,2016,440.75757,351795.5152052218
Andhra Pradesh,Kurnool,2015,386.71875,329277.084026477
Andhra Pradesh,Kurnool,2014,368.0,292494.3032993265
Andhra Pradesh,Kurnool,2013,337.47827,265367.4352906486
Andhra Pradesh,Kurnool,2012,253.77272,251441.94139150268
Andhra Pradesh,Kurnool,2011,329.60001,250455.5767950704
Andhra Pradesh,Kurnool,2010,263.83334,243247.36608231455
Andhra Pradesh,Kurnool,2009,392.26315,228028.1437539131
Andhra Pradesh,Kurnool,2008,472.19232,213567.2675552773
Andhra Pradesh,Kurnool,2007,476.20691,208244.46222031832
Andhra Pradesh,Kurnool,2006,346.33334,185154.13006227964
Andhra Pradesh,Kurnool,2005,285.26666,167555.26987840646
Andhra Pradesh,Kurnool,2004,260.58823,158714.0
Andhra Pradesh,Kurnool,2002,308.95999,134749.0
Andhra Pradesh,Kurnool,2000,199.5,126035.0
Andhra Pradesh,Srikakulam,2011,285.84,250455.5767950704
Andhra Pradesh,Srikakulam,2010,303.88461,243247.36608231455
Andhra Pradesh,Visakhapatanam,2009,202.01579,228028.1437539131
Andhra Pradesh,Srikakulam,2009,249.47826,228028.1437539131
Andhra Pradesh,Visakhapatanam,2008,192.86757,213567.2675552773
Andhra Pradesh,Visakhapatanam,2006,215.21892,185154.13006227964
Andhra Pradesh,Narayanpet,2002,742.33331,134749.0
Andhra Pradesh,Narayanpet,2003,386.5,147950.0
Andhra Pradesh,Srikakulam,2017,184.92857,387935.2068414944
Andhra Pradesh,Srikakulam,2018,213.71428,411681.621427448
Andhra Pradesh,Srikakulam,2015,234.19513,329277.084026477
Andhra Pradesh,Srikakulam,2014,216.39999,292494.3032993265
Andhra Pradesh,Srikakulam,2013,247.75676,265367.4352906486
Andhra Pradesh,Srikakulam,2012,265.38461,251441.94139150268
Andhra Pradesh,Jayashankar Bhupalapally,2002,113.5,134749.0
Andhra Pradesh,Jayashankar Bhupalapally,2000,48.333332,126035.0
Andhra Pradesh,Kurnool,2018,397.63159,411681.621427448
Andhra Pradesh,Vikarabad,2000,131.0,126035.0
Andhra Pradesh,Vikarabad,2001,139.0,131750.0
Andhra Pradesh,Vikarabad,2002,127.5,134749.0
Andhra Pradesh,Visakhapatanam,2000,192.48387,126035.0
Andhra Pradesh,Visakhapatanam,2002,185.89473,134749.0
Andhra Pradesh,Visakhapatanam,2003,297.92001,147950.0
Andhra Pradesh,Visakhapatanam,2004,238.47575,158714.0
Andhra Pradesh,Visakhapatanam,2005,235.6875,167555.26987840646
Andhra Pradesh,Visakhapatanam,2007,219.28947,208244.46222031832
Andhra Pradesh,Srikakulam,2008,301.375,213567.2675552773
Andhra Pradesh,Kumuram Bheem Asifabad,2002,186.1375,134749.0
Andhra Pradesh,Srikakulam,2007,321.67999,208244.46222031832
Andhra Pradesh,Anantapur,2012,171.83333,251441.94139150268
Andhra Pradesh,Anantapur,2011,253.91667,250455.5767950704
Andhra Pradesh,Anantapur,2010,215.26923,243247.36608231455
Andhra Pradesh,Anantapur,2009,242.73914,228028.1437539131
Andhra Pradesh,Anantapur,2008,339.73077,213567.2675552773
Andhra Pradesh,Anantapur,2007,243.85185,208244.46222031832
Andhra Pradesh,Anantapur,2006,287.09091,185154.13006227964
Andhra Pradesh,Anantapur,2005,439.72726,167555.26987840646
Andhra Pradesh,Anantapur,2004,353.38889,158714.0
Andhra Pradesh,Anantapur,2002,250.7048,134749.0
Andhra Pradesh,Anantapur,2001,248.588,131750.0
Andhra Pradesh,Anantapur,2000,263.62857,126035.0
Andhra Pradesh,Kumuram Bheem Asifabad,2000,141.0,126035.0
Andhra Pradesh,Srikakulam,2004,289.34616,158714.0
Andhra Pradesh,Srikakulam,2003,482.0,147950.0
Andhra Pradesh,Srikakulam,2002,270.95456,134749.0
Andhra Pradesh,Srikakulam,2000,217.54546,126035.0
Andhra Pradesh,Sri Potti Sriramulu Nellore,2018,349.95999,411681.621427448
Andhra Pradesh,Chittoor,2002,210.21053,134749.0
Andhra Pradesh,Anantapur,2013,214.375,265367.4352906486
Andhra Pradesh,Anantapur,2014,254.16667,292494.3032993265
Andhra Pradesh,Anantapur,2015,272.44446,329277.084026477
Andhra Pradesh,Anantapur,2016,332.80646,351795.5152052218
Andhra Pradesh,Visakhapatanam,2011,213.21317,250455.5767950704
Andhra Pradesh,Visakhapatanam,2012,149.64865,251441.94139150268
Andhra Pradesh,Visakhapatanam,2013,210.01785,265367.4352906486
Andhra Pradesh,Visakhapatanam,2014,146.57378,292494.3032993265
Andhra Pradesh,Visakhapatanam,2015,180.30281,329277.084026477
Andhra Pradesh,Visakhapatanam,2016,124.54546,351795.5152052218
Andhra Pradesh,Visakhapatanam,2017,142.44406,387935.2068414944
Andhra Pradesh,Visakhapatanam,2018,148.28302,411681.621427448
Andhra Pradesh,Vizianagaram,2000,172.66667,126035.0
Andhra Pradesh,Sri Potti Sriramulu Nellore,2015,506.20587,329277.084026477
Andhra Pradesh,Vizianagaram,2002,164.78261,134749.0
Andhra Pradesh,Vizianagaram,2005,160.45833,167555.26987840646
Andhra Pradesh,Srikakulam,2006,298.27274,185154.13006227964
Andhra Pradesh,Srikakulam,2005,311.16,167555.26987840646
Andhra Pradesh,Kumuram Bheem Asifabad,2001,185.8,131750.0
Andhra Pradesh,Nagarkurnool,2003,624.0,147950.0
Andhra Pradesh,Nagarkurnool,2002,264.5,134749.0
Andhra Pradesh,Nagarkurnool,2000,336.66666,126035.0
Andhra Pradesh,Anantapur,2018,278.0,411681.621427448
Andhra Pradesh,Anantapur,2017,307.43478,387935.2068414944
Andhra Pradesh,Vizianagaram,2004,211.18182,158714.0
Andhra Pradesh,Chittoor,2000,145.63637,126035.0
Andhra Pradesh,Srikakulam,2016,221.73077,351795.5152052218
Andhra Pradesh,Ranga Reddy,2002,199.44444,134749.0
Andhra Pradesh,Nizamabad,2002,139.65715,134749.0
Andhra Pradesh,Nizamabad,2000,116.4,126035.0
Andhra Pradesh,Y.S.R.,2000,238.11111,126035.0
Andhra Pradesh,Y.S.R.,2001,268.07693,131750.0
Andhra Pradesh,Y.S.R.,2002,338.60001,134749.0
Andhra Pradesh,Y.S.R.,2004,173.44444,158714.0
Andhra Pradesh,Adilabad,2002,65.845711,134749.0
Andhra Pradesh,Y.S.R.,2005,224.90909,167555.26987840646
Andhra Pradesh,Y.S.R.,2007,248.71428,208244.46222031832
Andhra Pradesh,Y.S.R.,2008,291.89474,213567.2675552773
Andhra Pradesh,Y.S.R.,2009,280.89999,228028.1437539131
Andhra Pradesh,Y.S.R.,2010,143.0,243247.36608231455
Andhra Pradesh,Y.S.R.,2011,248.33333,250455.5767950704
Andhra Pradesh,Y.S.R.,2012,173.73334,251441.94139150268
Andhra Pradesh,Y.S.R.,2006,288.0,185154.13006227964
Andhra Pradesh,Y.S.R.,2013,226.08333,265367.4352906486
Andhra Pradesh,Adilabad,2001,53.714287,131750.0
Andhra Pradesh,Karimnagar,2000,128.0,126035.0
Andhra Pradesh,Krishna,2000,557.85712,126035.0
Andhra Pradesh,Ranga Reddy,2003,789.66669,147950.0
Andhra Pradesh,Krishna,2017,428.39999,387935.2068414944
Andhra Pradesh,Krishna,2016,458.30768,351795.5152052218
