YEAR,ANDHRA PRADESH,ARUNACHAL PRADESH,ASSAM,BIHAR,GOA,GUJARAT,HARYANA,HIMACHAL PRADESH,JAMMU AND KASHMIR,JHARKHAND,KARNATAKA,KERALA,MADHYA PRADESH,CHHATTISGARH,MAHARASHTRA,MANIPUR,MEGHALAYA,MIZORAM,NAGALAND,ODISHA,PUNJAB,RAJASTHAN,SIKKIM,TAMILNADU,TRIPURA,UTTAR PRADESH,UTTARAKHAND,WEST BENGAL,ANDAMAN AND NICOBAR ISLANDS,CHANDIGARH,DELHI,PONDICHERRY,TELANGANA
2004,121388,3188,47181,70167,10999,172265,86222,21189,23292,53056,148729,104776,99940,41387,370023,4603,5846,2400,5421,67987,86108,112636,1511,193645,8170,231029,22288,190029,1633,7610,94717,5033,79916
2005,128150,3281,48602,68419,11916,197270,94011,23009,24371,50678,164031,115500,104975,42063,423632,4907,6303,2577,5986,71005,90330,120202,1662,221588,8708,244514,25448,201994,1720,8442,104473,6375,92751
2006,141610,3458,50797,80260,13085,213954,104700,24819,25794,51527,181086,124625,114545,50065,481983,4992,6778,2693,6454,79845,100072,134350,1760,256286,9458,263935,28514,217849,2029,9690,117444,6614,102977
2007,159270,3873,52968,84415,13655,239253,112896,26362,27387,63005,203810,135747,119958,54112,538081,5267,6991,2988,6978,86692,108738,140471,1862,272340,10082,280851,33498,234798,2238,10405,130683,7137,113456
2008,163341,4191,56123,97284,14728,249480,121588,27649,29102,60472,218309,144094,135124,57662,546533,5652,7889,3437,7422,93207,114766,152284,2106,286744,11146,302192,37064,244262,2579,11187,146961,7792,128918
2009,174401,4539,61294,101938,16119,284732,136780,29149,30512,66465,218363,157123,147933,59263,599338,6039,8396,3832,7842,93957,122097,161159,3659,316760,12287,320989,43407,263230,2911,11767,159044,9197,129267
2010,186041,4735,64310,117503,19293,315892,146053,31590,32256,76134,240817,167178,155701,64977,667625,5862,9226,4539,8587,99880,129983,185366,4028,359961,13215,346621,47967,279191,3164,11765,172235,9812,152123
2011,191554,4983,66942,129521,23279,336886,158523,33955,33990,80157,248040,176915,169600,69265,695904,6412,10303,4405,9291,103628,136987,202749,4548,386508,14421,365375,52748,289432,3431,11959,180722,10174,160602
