YEAR,ANDHRA PRADESH,ARUNACHAL PRADESH,ASSAM,BIHAR,GOA,GUJARAT,HARYANA,HIMACHAL PRADESH,JAMMU AND KASHMIR,JHARKHAND,KARNATAKA,KERALA,MADHYA PRADESH,CHHATTISGARH,MAHARASHTRA,MANIPUR,MEGHALAYA,MIZORAM,NAGALAND,ODISHA,PUNJAB,RAJASTHAN,SIKKIM,TAMILNADU,TRIPURA,UTTAR PRADESH,UTTARAKHAND,WEST BENGAL,ANDAMAN AND NICOBAR ISLANDS,CHANDIGARH,DELHI,PONDICHERRY,TELANGANA
1999,116360,1497,32011,46071,5570,92541,47329,12467,13533,30229,90532,61359,72655,23840,217198,2954,3211,1410,2610,38399,61139,74174,765,119704,4496,156809,11187,125299,838,3792,51175,2893,1
2000,126035,1607,32821,53656,5287,86431,51090,13262,13917,26663,91136,62909,66750,22372,210526,2765,3422,1463,3052,37386,63172,71764,814,126349,4778,160015,12582,129691,838,4274,53177,3305,1
2001,131750,1864,33668,50579,5492,93455,55036,13938,14185,28500,92788,66052,71525,25503,217963,2937,3651,1555,3402,39662,63995,79936,881,123901,5433,162926,13179,139057,857,4649,55222,3529,1
2002,134749,1775,35708,56975,5826,101603,58410,14617,14907,29298,97765,70885,67795,25072,232994,2921,3759,1705,3741,39377,65085,70333,947,124521,5796,168198,14413,143931,948,5235,59454,3879,1
2003,147950,1968,37905,53301,6225,118525,64156,15596,15673,31515,99669,75479,75400,29782,250989,3240,3993,1760,3912,45127,69149,92712,1022,132281,6136,177054,15553,152388,1048,5804,62694,4053,1
2004,158714,2222,39207,60045,6891,125599,69688,17076,16519,36886,109775,82590,77874,31377,272860,3540,4270,1839,4100,51020,72587,90445,1102,147994,6639,185920,17599,162491,1088,6397,69479,3500,79916
