Region,R-squared,Beta0,Beta1,Beta2,Beta3,Beta4
Northern,0.07507220776616952,2.9314877027069124e-08,0.0025163909397427193,-6.136580664295268e-09,5.550178158349323e-15,8.796127517615014e-09
North-Eastern,0.05656462486094871,1.270122239187297e-07,0.002155767705171998,-1.9415639670403824e-08,4.950040788897659e-14,2.9189593936416494e-08
Eastern,-0.015033038859574521,1.1403919487265635e-08,0.0009966864488458265,-3.0081971887864186e-09,2.871087627315009e-15,2.6969943949907575e-09
Central,0.033323243642651046,7.53247802751235e-09,0.0008783601692468507,-2.0729310399741418e-09,1.3133827931464508e-15,2.1260699733407165e-09
Western,0.04677697711393736,6.855141961786506e-09,0.001690856352342714,-2.2705855096723647e-09,7.842144378577892e-16,1.8087274611499333e-09
Southern,-0.01237206510746458,7.0170529646563744e-09,0.0010309728770285002,-1.7038807125169087e-09,8.867109964923364e-16,2.2370887308030837e-09
