YEAR,ANDHRA PRADESH,ARUNACHAL PRADESH,ASSAM,BIHAR,GOA,GUJARAT,HARYANA,HIMACHAL PRADESH,JAMMU AND KASHMIR,JHARKHAND,KARNATAKA,KERALA,MADHYA PRADESH,CHHATTISGARH,MAHARASHTRA,MANIPUR,MEGHALAYA,MIZORAM,NAGALAND,ODISHA,PUNJAB,RAJASTHAN,SIKKIM,TAMILNADU,TRIPURA,UTTAR PRADESH,UTTARAKHAND,WEST BENGAL,ANDAMAN AND NICOBAR ISLANDS,CHANDIGARH,DELHI,PONDICHERRY,TELANGANA
2011,339996,10229,129354,228497,38009,532809,271152,60536,65319,137383,554952,328021,282371,142273,1126595,11501,18028,6404,10554,204226,239227,395331,9742,674478,17419,645132,101960,473205,3404,16930,314650,15160,325139
2012,341335,10399,132518,236933,32453,596659,289756,64519,67316,149526,593192,348616,306853,148760,1189711,11515,18323,6836,11163,216301,251813,409802,9970,709343,18857,673552,109528,492901,3558,18305,334193,15507,334205
2013,360239,11226,138725,246915,27971,641489,314931,69398,70536,150609,646787,364707,322598,163494,1267551,12519,18397,7831,11923,233122,267515,434292,10590,750416,20623,707469,117778,503952,3811,19813,356528,17239,349593
2014,397064,13082,146425,255739,36042,705629,333359,74553,67154,170568,671283,382134,339247,165354,1345341,13615,17893,9960,12406,235931,278485,465408,11437,791915,24407,729686,125702,515702,4151,20353,387639,16055,372897
2015,446997,12889,167629,269200,41929,774775,372700,80563,80602,158231,749952,411150,370716,168879,1452513,14635,18330,10948,12600,253192,294895,501922,12484,862437,23745,792049,136144,546988,4483,22058,431730,17025,416892
2016,477566,13396,179632,289265,46371,843930,412055,88112,82636,176363,851394,443615,419465,187541,1596121,15201,19295,12029,13488,293348,315783,529650,13416,922084,27204,888453,150303,584911,5091,23842,461592,18284,455731
2017,526626,13923,195262,312605,47077,946511,434407,93525,87591,191573,915642,473182,441956,194073,1661065,16870,19964,13779,14178,316192,335057,557618,15204,1000308,29505,922458,162205,623787,5750,25289,487631,20024,498145
2018,558862,14897,204627,345545,47425,1034399,470328,99218,93072,208701,974815,510787,482361,209211,1728578,16193,20968,14116,15055,338339,353942,568102,15889,1071602,32703,949184,166519,659288,6108,26654,506332,23468,544441
